Title,Cites,Year,Reference,Publisher,Tag,Link,Description
Detection of diabetic retinopathy and related retinal disorders using fundus images based on deep learning and image processing techniques: A comprehensive …,1, 2022,"B Lalithadevi, S Krishnaveni - Concurrency and Computation …, 2022 - Wiley Online Library",Wiley Online Library, Concurrency and Computation …,https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.7032,"… of the CNN model for DR classification with different datasets. Asiri et al. investigated the 
types of deep learning models involved in the DR diagnosis method. Clinical features were …"
Diabetic Retinopathy Detection and Classification from Fundus Images Using Deep Learning,1, 2021,"P Shetgaonkar, S Aswale, S Naik… - 2021 International …, 2021 - ieeexplore.ieee.org",ieeexplore.ieee.org, 2021 International …,https://ieeexplore.ieee.org/abstract/document/9673345/,"… Machine Learning (ML) algorithms have been the better choice in revolutionizing the 
traditional diagnosis … Convolutional Neural Network (CNN) deep learning model has given …"
Juxtaposing Deep Learning Models Efficacy for Ocular Disorder Detection of Diabetic Retinopathy for Ophthalmoscopy,3, 2021,"SA Dwivedi, A Attry - 2021 6th International Conference on …, 2021 - ieeexplore.ieee.org",ieeexplore.ieee.org, 2021 6th International Conference on …,https://ieeexplore.ieee.org/abstract/document/9609368/,"… and less proportion of Training Data [11]. Pre-Diagnosis of Diabetic Retinopathy using Blob 
… with effective classification prospects [14]. Intensitybased optic disc detection for automating …"
Diabetic Retinopathy Grading Using ResNet Convolutional Neural Network,3, 2020,"MS Sallam, AL Asnawi… - 2020 IEEE Conference …, 2020 - ieeexplore.ieee.org",ieeexplore.ieee.org, 2020 IEEE Conference …,https://ieeexplore.ieee.org/abstract/document/9289822/,"… The problem of DR diagnosis has been handled as a multi-class classification problem … 
have been used, and machine learning and deep learning models have been implemented and …"
Diabetic Retinopathy Grading by Deep Graph Correlation Network on Retinal Images Without Manual Annotations,2, 2022,"G Zhang, B Sun, Z Chen, Y Gao, Z Zhang, K Li… - Frontiers in …, 2022 - ncbi.nlm.nih.gov",ncbi.nlm.nih.gov, Frontiers in …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9046841/,"… For the diagnosis of referable diabetic retinopathy, this study also reports the ROC curves 
for … on the effectiveness of deep learning technology in automated diabetic retinopathy …"
Transfer learning based diabetic retinopathy detection with a novel preprocessed layer,8, 2020,"MR Islam, MAM Hasan… - 2020 IEEE Region 10 …, 2020 - ieeexplore.ieee.org",ieeexplore.ieee.org, 2020 IEEE Region 10 …,https://ieeexplore.ieee.org/abstract/document/9230648/,"… In our paper, we developed a deep learning model with transfer learning from VGG16 … 
Tomar, ""Diagnosis of diabetic retinopathy using machine learning classification algorithm,"" 2016 …"
Deep learning versus human graders for classifying diabetic retinopathy severity in a nationwide screening program,127, 2019,"P Ruamviboonsuk, J Krause, P Chotcomwongse… - NPJ digital …, 2019 - nature.com",nature.com, NPJ digital …,https://www.nature.com/articles/s41746-019-0099-8,"… Lastly, the diagnostic accuracy of DL algorithms should be compared with human graders 
… grading of regional graders for severe or worse NPDR and proliferative diabetic retinopathy (…"
Image quality classification for DR screening using deep learning,63, 2017,"FL Yu, J Sun, A Li, J Cheng, C Wan… - 2017 39th Annual …, 2017 - ieeexplore.ieee.org",ieeexplore.ieee.org, 2017 39th Annual …,https://ieeexplore.ieee.org/abstract/document/8036912/,"… The accuracy of the final classification was improved based on … diagnostic process of 
large-scale diabetic retinopathy. We demonstrated the proposed algorithm on a large scale retinal …"
Effective blood vessels reconstruction methodology for early detection and classification of diabetic retinopathy using OCTA images by artificial neural network,20, 2020,"MM Abdelsalam - Informatics in Medicine Unlocked, 2020 - Elsevier",Elsevier, Informatics in Medicine Unlocked,https://www.sciencedirect.com/science/article/pii/S2352914820303981,"… different classifications and detection methods of diabetic retinopathy for early diagnosis 
and … A deep learning algorithm is employed for DR classification either by using features …"
Automated diabetic retinopathy detection using bag of words approach,32, 2017,"M Islam, AV Dinh, KA Wahid - Journal of Biomedical Science and …, 2017 - scirp.org",scirp.org, Journal of Biomedical Science and …,https://www.scirp.org/journal/paperinformation.aspx?paperid=76949,"… processing and machine learning to diagnose diabetic retinopathy from retinal fundus images. 
… Figure 10 illustrates that the area under the ROC curve for our classification is 95% that …"
Reproduction study using public data of: Development and validation of a deep learning algorithm for detection of diabetic retinopathy in retinal fundus …,88, 2019,"M Voets, K Møllersen, LA Bongo - PloS one, 2019 - journals.plos.org",journals.plos.org, PloS one,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0217541,"… the feasibility of applying deep learning in practice, particularly for image classification [6, 7]. 
… 29] with other deep learning models for diagnosis of diabetic retinopathy. The review shows …"
Algorithms for Diagnosis of Diabetic Retinopathy and Diabetic Macula Edema-A Review,10, 2020,"K Suriyasekeran, S Santhanamahalingam… - Diabetes: from Research …, 2020 - Springer",Springer, Diabetes: from Research …,https://link.springer.com/chapter/10.1007/5584_2020_499,"… vision and machine learning to diagnose retinal diseases is a … in the retina in the posterior 
part of the eye due to diabetes is … analyze retinal images and classify with confirmed diagnosis …"
Deep learning for automated quality assessment of color fundus images in diabetic retinopathy screening,13, 2017,"SK Saha, B Fernando, J Cuadros, D Xiao… - arXiv preprint arXiv …, 2017 - arxiv.org",arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/1703.02511,"… for the grading of DR. In this paper we have proposed a deep learning based automated 
image … modality to screen for and diagnose several retina related conditions [1, 2, 3] such as …"
Convolutional neural network for multi-class classification of diabetic eye disease,15, 2022,"R Sarki, K Ahmed, H Wang, Y Zhang… - … on Scalable Information …, 2022 - publications.eai.eu",publications.eai.eu, … on Scalable Information …,https://publications.eai.eu/index.php/sis/article/view/315,"… Diabetic Eye Disease (DED) and reduces the likelihood of permanent deterioration of vision. 
A key tool commonly used for the initial diagnosis … As deep learning (DL) has recently been …"
A New Early Stage Diabetic Retinopathy Diagnosis Model Using Deep Convolutional Neural Networks and Principal Component Analysis.,12, 2020,"M Mohammedhasan, H Uğuz - Traitement du Signal, 2020 - researchgate.net",researchgate.net, Traitement du Signal,https://www.researchgate.net/profile/Mali-Mohammedhasan/publication/346966301_A_New_Early_Stage_Diabetic_Retinopathy_Diagnosis_Model_Using_Deep_Convolutional_Neural_Networks_and_Principal_Component_Analysis/links/5fd5098b92851c13fe80f124/A-New-Early-Stage-Diabetic-Retinopathy-Diagnosis-Model-Using-Deep-Convolutional-Neural-Networks-and-Principal-Component-Analysis.pdf,"… new technology in the classification of retinal images, and in … early stage diabetic retinopathy 
diagnosis mechanism which … and maculopathy in eye fundus images using deep learning …"
Low-complexity computer-aided diagnosis for diabetic retinopathy,6, 2020,"M Shaban, AH Mahmoud, A Shalaby, M Ghazal… - … and retinopathy, 2020 - Elsevier",Elsevier, … and retinopathy,https://www.sciencedirect.com/science/article/pii/B9780128174388000079,"… and classification tasks. This chapter surveys various deep learning approaches for fundus 
imaging and present a newly introduced low complexity CNN to detect and classify the four …"
Convolutional Neural Network for Classification of Diabetic Retinopathy Grade,5, V Maeda,"V Alcalá-Rmz, V Maeda-Gutiérrez… - … on Artificial Intelligence, 2020 - Springer",Springer,Rmz,https://link.springer.com/chapter/10.1007/978-3-030-60884-2_8,"… of different machine learning and deep learning techniques using the DR diagnosis as 
objective… are not able to classify the DR grade. So, in this paper we propose a CNN that is able to …"
Deep image mining for diabetic retinopathy screening,362, 2017,"G Quellec, K Charrière, Y Boudi, B Cochener… - Medical image …, 2017 - Elsevier",Elsevier, Medical image …,https://www.sciencedirect.com/science/article/pii/S136184151730066X,"… Early diagnosis is the key to slowing down the progression of … However, to our knowledge, 
no deep learning algorithm was … system for grading the severity of diabetic retinopathy (DR) in …"
Deep transfer learning models for medical diabetic retinopathy detection,61, 2019,"NEM Khalifa, M Loey, MHN Taha… - Acta Informatica …, 2019 - ncbi.nlm.nih.gov",ncbi.nlm.nih.gov, Acta Informatica …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7085308/,"… sections devoted to deep learning and smartphone technology for future malaria 
diagnosis. (… CNNs further increased the accuracy rate with respect to the image detection/classification …"
Classification of diabetic retinopathy using unlabeled data and knowledge distillation,7, 2021,"S Abbasi, M Hajabdollahi, P Khadivi, N Karimi… - Artificial Intelligence in …, 2021 - Elsevier",Elsevier, Artificial Intelligence in …,https://www.sciencedirect.com/science/article/pii/S093336572100169X,"… Over the last decade, advances in Machine Learning and Artificial Intelligence have 
highlighted their potential as a diagnostic tool in the healthcare domain. Despite the widespread …"
DcardNet: Diabetic retinopathy classification at multiple levels based on structural and angiographic optical coherence tomography,33, 2020,"P Zang, L Gao, TT Hormel, J Wang… - IEEE Transactions …, 2020 - ieeexplore.ieee.org",ieeexplore.ieee.org, IEEE Transactions …,https://ieeexplore.ieee.org/abstract/document/9207828/,"… Therefore, taking advantages of both powerful deep learning … can perform a full DR 
classification (across datasets including … with practical diagnosis, where the doctors’ diagnosis is …"
A Survey on Diabetic Retinopathy Detection Using Deep Learning,1, 2022,"D Mane, N Londhe, N Patil, O Patil… - Data Engineering for Smart …, 2022 - Springer",Springer, Data Engineering for Smart …,https://link.springer.com/chapter/10.1007/978-981-16-2641-8_59,"… techniques used for the detection and diagnosis of early stage diabetic retinopathy. In the 
future extension, the classification can be enlarged by reliable machine learning algorithms or …"
Modeling of Diabetic Retinopathy Grading Using Deep Learning,1, 2021,"B Srinivasan, P Rajalingam… - … and Analysis of …, 2021 - Wiley Online Library",Wiley Online Library, … and Analysis of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119785521.ch10,"… classification of diabetic retinopathy; the Convolutional Neural Networks (CNN)-based features 
are used for classification… a hybrid approach for diabetic retinopathy diagnosis combining …"
Image Based Edge Weighted Linked Segmentation Model Using Deep Learning for Detection of Diabetic Retinopathy.,1, 2022,"MPL Taranum, JS Rajashekar - Traitement du Signal, 2022 - search.ebscohost.com",search.ebscohost.com, Traitement du Signal,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=07650019&AN=155992622&h=g0r%2Fo87J80XhaMhM0vYFn%2BT5haL9QZ3q7wEJABH6EpFAeoq0BA1jn5k0b8GAVST7Gn42YJr%2BFaBTRAITbW99dw%3D%3D&crl=c,"… The use of machine learning or data mining techniques to diagnose diabetic retinopathy has 
… of convolutional neural networks in diabetic retinopathy classification. In 2019 41st Annual …"
Lesion-aware attention with neural support vector machine for retinopathy diagnosis,5, 2021,"NS Shaik, TK Cherukuri - Machine Vision and Applications, 2021 - Springer",Springer, Machine Vision and Applications,https://link.springer.com/article/10.1007/s00138-021-01253-y,"… In this work, we propose a deep learning-based approach for diabetic retinopathy … establish 
an efficient model for the severity grading of diabetic retinopathy in color fundus images. The …"
Threshold segmentation based multi-layer analysis for detecting diabetic retinopathy using convolution neural network,17, 2021,"A Shanthini, G Manogaran, G Vadivu… - … of Ambient Intelligence …, 2021 - Springer",Springer, … of Ambient Intelligence …,https://link.springer.com/article/10.1007/s12652-021-02923-5,"… test is better diagnosed for diabetic retinopathy. The drops … The retinal images have been 
segmented and classified into … Here it is done by segmenting the deep learning CNN. Image …"
A review on computer-aided recent developments for automatic detection of diabetic retinopathy,9, 2019,"SN Randive, RK Senapati… - Journal of medical …, 2019 - Taylor & Francis",Taylor & Francis, Journal of medical …,https://www.tandfonline.com/doi/abs/10.1080/03091902.2019.1576790,"… ultimate detection and diagnostic procedure of proliferative diabetic retinopathy. Furthermore, 
… For the DR classification in retinal images, machine learning techniques like Evolutionary …"
DeepDRiD: Diabetic Retinopathy—Grading and Image Quality Estimation Challenge,6, 2022,"R Liu, X Wang, Q Wu, L Dai, X Fang, T Yan, J Son… - Patterns, 2022 - Elsevier",Elsevier, Patterns,https://www.sciencedirect.com/science/article/pii/S2666389922001040,"… image quality and DR grading diagnosis. We discussed details … named “Diabetic Retinopathy 
(DR)—Grading and Image … deep learning models for DR image assessment and grading. …"
Diabetic retinal exudates detection using machine learning techniques,26, 2015,"PR Asha, S Karpagavalli - 2015 international conference on …, 2015 - ieeexplore.ieee.org",ieeexplore.ieee.org, 2015 international conference on …,https://ieeexplore.ieee.org/abstract/document/7324057/,"… and Extreme Learning Machine to classify the presence or … method which helps to diagnose 
the disease in early stage … novel approach of employing machine learning technique to …"
A data-driven approach to referable diabetic retinopathy detection,90, 2019,"R Pires, S Avila, J Wainer, E Valle, MD Abramoff… - Artificial intelligence in …, 2019 - Elsevier",Elsevier, Artificial intelligence in …,https://www.sciencedirect.com/science/article/pii/S0933365718306353,"… our deep learning-based solution for diabetic retinopathy … of concepts related to deep 
learning for image classification. … the possibility of training a retinal image diagnosis system with …"
Uncertainty-aware deep learning methods for robust diabetic retinopathy classification,3, 2022,"J Jaskari, J Sahlsten, T Damoulas, J Knoblauch… - IEEE …, 2022 - ieeexplore.ieee.org",ieeexplore.ieee.org, IEEE …,https://ieeexplore.ieee.org/abstract/document/9832601/,"… The Messidor-2 is a common benchmark dataset that was introduced for research in 
computer-assisted diagnosis of diabetic retinopathy. The EyePACS, APTOS, and Messidor-2 …"
A review on exudates detection methods for diabetic retinopathy,58, 2018,"S Joshi, PT Karule - Biomedicine & Pharmacotherapy, 2018 - Elsevier",Elsevier, Biomedicine & Pharmacotherapy,https://www.sciencedirect.com/science/article/pii/S0753332217346267,"… Machine learning supervised based approach was proposed … system to diagnose each DR 
grading stage through proper … effectiveness of automated grading diagnosis through accurate …"
ResNet-34/DR: A Residual Convolutional Neural Network for the Diagnosis of Diabetic Retinopathy,11, 2021,"NMAMM Al, RS Khudeyer - Informatica, 2021 - informatica.si",informatica.si, Informatica,https://www.informatica.si/index.php/informatica/article/view/3774,"… In this paper, we develop a computationally efficient and scalable deep learning model … 
the required classification (in our case, diagnosis), as an output. Such a classification approach …"
Comparative Study of Methods Used for Diagnosis of Diabetic Retinopathy Using Image Processing,1, 2021,"P Dixit, R Pradhan - 2021 International Conference on …, 2021 - ieeexplore.ieee.org",ieeexplore.ieee.org, 2021 International Conference on …,https://ieeexplore.ieee.org/abstract/document/9841152/,"… This research paper directs towards the different machine learning models that can be used 
… which model is best suited to classify images of Diabetic Retinopathy. The models that I will …"
Automatic analysis of microaneurysms turnover to diagnose the progression of diabetic retinopathy,33, 2018,"J Xu, X Zhang, H Chen, J Li, J Zhang, L Shao… - IEEE …, 2018 - ieeexplore.ieee.org",ieeexplore.ieee.org, IEEE …,https://ieeexplore.ieee.org/abstract/document/8295214/,"… For machine learning classifier using pathological risk factors… to classify MAs turnover based 
on the sequential retinal … the intelligent diagnosis on the progression of diabetic retinopathy, …"
Advances in Computer-Aided Diagnosis of Diabetic Retinopathy,1, 2019,"SS Chaturvedi, K Gupta, V Ninawe… - arXiv preprint arXiv …, 2019 - arxiv.org",arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/1909.09853,"… of Diabetic Retinopathy using either of Machine Learning or Deep Learning algorithms. … 
human experts in the classification of advanced stage Diabetic Retinopathy. Kori et al. [21] …"
Diabetic Retinopathy Detection by means of Deep Learning,2, 2021,"S Thorat, A Chavan, P Sawant… - … and Control Systems …, 2021 - ieeexplore.ieee.org",ieeexplore.ieee.org, … and Control Systems …,https://ieeexplore.ieee.org/abstract/document/9432075/,"… Diabetic Retinopathy is classified into 5 stages (shown in Fig. 1.) which are No DR, Mild Non… 
technique based on SVM to help diagnose diabetic retinopathy in advance. In this approach…"
A human-centered evaluation of a deep learning system deployed in clinics for the detection of diabetic retinopathy,274, 2020,"E Beede, E Baylor, F Hersch, A Iurchenko… - Proceedings of the …, 2020 - dl.acm.org",dl.acm.org, Proceedings of the …,https://dl.acm.org/doi/abs/10.1145/3313831.3376718,"… of a production-level deep learning model for diagnostic prediction, being used across … deep 
learning algorithm to assess DR could reduce the requirement for nurses to perform grading …"
Colorimetric and Electrochemical Screening for Early Detection of Diabetes Mellitus and Diabetic Retinopathy—Application of Sensor Arrays and Machine Learning,2, AK Holmeide… ,"G Faura, G Boix-Lemonche, AK Holmeide… - Sensors, 2022 - mdpi.com",mdpi.com,Lemonche,https://www.mdpi.com/1424-8220/22/3/718,"… time of diagnosis; moreover, glucose intolerance or pre-diabetes is also associated with 
diabetic eye disease [… (classification-based) and non-targeted approach for the development of …"
Classification of Diabetic Retinopathy Severity Based on GCA Attention Mechanism,1, 2021,"B Yang, T Li, H Xie, Y Liao, YPP Chen - IEEE Access, 2021 - ieeexplore.ieee.org",ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/9664550/,"… used deep learning techniques for DR severity classification. At the stage of DR detection 
using traditional machine learning … level for diagnosis of diabetic retinopathy using deep visual …"
Diabetic retinal grading using attention-based bilinear convolutional neural network and complement cross entropy,6, 2021,"P Liu, X Yang, B Jin, Q Zhou - Entropy, 2021 - mdpi.com",mdpi.com, Entropy,https://www.mdpi.com/1099-4300/23/7/816,"… medical diagnosis… classification of diabetic retinal fundus lesions can be divided into two 
categories: research methods based on machine learning and methods based on deep learning…"
Using artificial intelligence reading label system in diabetic retinopathy grading training of junior ophthalmology residents and medical students,1, 2022,"R Han, W Yu, H Chen, Y Chen - BMC Medical …, 2022 - bmcmededuc.biomedcentral.com",bmcmededuc.biomedcentral.com, BMC Medical …,https://bmcmededuc.biomedcentral.com/articles/10.1186/s12909-022-03272-3,"… Diagnosis results were collected according to the diagnosis … Three diagnosis classifications 
were set as with/without DR, … of severe diabetic retinopathy using deep learning method. …"
A Dual Weighted Shared Capsule Network for Diabetic Retinopathy Fundus Classification,5, 2021,"GU Nneji, J Cai, J Deng, S Nahar… - … Conference on High …, 2021 - ieeexplore.ieee.org",ieeexplore.ieee.org, … Conference on High …,https://ieeexplore.ieee.org/abstract/document/9658352/,"… proliferated diabetic retinopathy and death rate. Depending on domain experts for diagnostic 
… Bavishi, “Predicting the risk of developing diabetic retinopathy using deep learning,” Lancet …"
Classification of diabetes-related retinal diseases using a deep learning approach in optical coherence tomography,48, 2019,"O Perdomo, H Rios, FJ Rodríguez, S Otálora… - Computer methods and …, 2019 - Elsevier",Elsevier, Computer methods and …,https://www.sciencedirect.com/science/article/pii/S0169260718318686,"… containing healthy, diabetic retinopathy, diabetic macular edema … -stage deep learning-based 
pipeline: a deep segmentation … and a deep classification network to predict the diagnosis …"
Diabetic retinopathy diagnosis using neural network arbitration,6, 2017,"AA Adekunle, A Khashman, EO Olaniyi… - Bulletin of the …, 2017 - academia.edu",academia.edu, Bulletin of the …,https://www.academia.edu/download/57307927/DIABETICRETINOPATHYDIAGNOSISUSINGNEURALNETWORKARBITRATION.pdf,"… be classified into two; non-proliferative diabetic retinopathy and proliferative diabetic retinopathy… 
available UCI machine learning repository. This system will aid physicians to accurately …"
"The role of telemedicine, in-home testing and artificial intelligence to alleviate an increasingly burdened healthcare system: Diabetic retinopathy",11, 2021,"J Pieczynski, P Kuklo, A Grzybowski - Ophthalmology and Therapy, 2021 - Springer",Springer, Ophthalmology and Therapy,https://link.springer.com/article/10.1007/s40123-021-00353-2,"… collaborative platform based on machine learning to create an algorithm to help diagnose 
DR by evaluating image quality, discarding healthy eyes and DR grading. The results were …"
Automatic diabetic retinopathy grading via self-knowledge distillation,13, 2020,"L Luo, D Xue, X Feng - Electronics, 2020 - mdpi.com",mdpi.com, Electronics,https://www.mdpi.com/802324,"Diabetic retinopathy (DR) is a common fundus disease that leads to irreversible blindness, 
which plagues the working-age population. Automatic medical imaging diagnosis provides a …"
Deep Learning Approach for Stages of Severity Classification in Diabetic Retinopathy Using Color Fundus Retinal Images,12, 2021,"S Goel, S Gupta, A Panwar, S Kumar… - Mathematical …, 2021 - hindawi.com",hindawi.com, Mathematical …,https://www.hindawi.com/journals/mpe/2021/7627566/,"… But the diabetic retinopathy detection and its classification by a human, is … Diabetic retinopathy 
disease targets the retinal portion of the eye and entails the loss of vision. Early diagnosis …"
Using transfer learning for diabetic retinopathy stage classification,4, 2021,"EMF El Houby - Applied Computing and Informatics, 2021 - emerald.com",emerald.com, Applied Computing and Informatics,https://www.emerald.com/insight/content/doi/10.1108/ACI-07-2021-0191/full/html,"… for the detection and diagnosis of DR using various machine learning techniques (MLTs). … 
To help in the detection of DR and classification of its grade stages, deep learning was used…"
Cross-Camera External Validation for Artificial Intelligence Software in Diagnosis of Diabetic Retinopathy,1, 2022,"MJ Tsai, YT Hsieh, CH Tsai, M Chen… - Journal of Diabetes …, 2022 - hindawi.com",hindawi.com, Journal of Diabetes …,https://www.hindawi.com/journals/jdr/2022/5779276/,"… of deep learning image assessment software VeriSee DR to different color fundus cameras 
for the screening of diabetic retinopathy (… Grading for Diabetic Retinopathy. All fundus photo…"
On the robustness of pretraining and self-supervision for a deep learning-based analysis of diabetic retinopathy,5, 2021,"V Srinivasan, N Strodthoff, J Ma, A Binder… - arXiv preprint arXiv …, 2021 - arxiv.org",arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2106.13497,"… For diabetic retinopathy grading as exemplary use case, we … pretraining for detecting diabetic 
retinopathy in retinal images. … Deep learning-based methods for the diagnosis of diabetic …"
Automated Detection and Classification of Diabetic Retinopathy and Diabetic Macular Edema in Retinal Fundus Images Using Deep Learning Approach,4, 2021,"GR Sreekanth, RS Latha, RC Suganthe… - … & ESSENTIAL OILS …, 2021 - nveo.org",nveo.org, … & ESSENTIAL OILS …,http://www.nveo.org/index.php/journal/article/view/325,"… In paper [4], the authors developed a DL algorithm for the automatic diagnosis of Diabetic 
Retinopathy(DR). They mainly dealt with the laterality of the eyes. They have considered a …"
Identifying medical diagnoses and treatable diseases by image-based deep learning,2670, 2018,"DS Kermany, M Goldbaum, W Cai, CCS Valentim… - Cell, 2018 - Elsevier",Elsevier, Cell,https://www.sciencedirect.com/science/article/pii/S0092867418301545,"… intelligence (AI) has the potential to revolutionize disease diagnosis and management by 
performing classification … with wet AMD (B) or diabetic retinopathy with macular edema (C) …"
Machine learning techniques for screening and diagnosis of diabetes: a survey,17, 2019,"Y Sun, D Zhang - Tehnički vjesnik, 2019 - hrcak.srce.hr",hrcak.srce.hr, Tehnički vjesnik,https://hrcak.srce.hr/clanak/322656,"… CNNs are mainly applied to image recognition, for example, they classify retinal images to 
diagnose diabetic retinopathy. Autoencoders which have the ability to learn flexible and rich …"
Supervised machine learning based multi-task artificial intelligence classification of retinopathies,43, 2019,"M Alam, D Le, JI Lim, RVP Chan, X Yao - Journal of clinical medicine, 2019 - mdpi.com",mdpi.com, Journal of clinical medicine,https://www.mdpi.com/481954,"… In ophthalmic research, application of AI technology has led to excellent diagnostic 
accuracy for several ocular conditions such as diabetic retinopathy (DR), age related macular …"
Detection of diabetic retinopathy using a fusion of textural and ridgelet features of retinal images and sequential minimal optimization classifier,30, 2021,"LK Ramasamy, SG Padinjappurathu, S Kadry… - PeerJ computer …, 2021 - peerj.com",peerj.com, PeerJ computer …,https://peerj.com/articles/cs-456/,"… This paper develops a model for the diagnostics of DR. Initially, we extract and fuse the … 
Machine learning classification can aid a physician by providing an idea of the severity of the …"
Quantification of nonperfusion area in montaged widefield OCT angiography using deep learning in diabetic retinopathy,5, 2021,"Y Guo, TT Hormel, L Gao, Q You, B Wang… - Ophthalmology …, 2021 - Elsevier",Elsevier, Ophthalmology …,https://www.sciencedirect.com/science/article/pii/S2666914521000257,"… clinical grading, they offer the possibility of improving the management of diabetic retinopathy 
… Compared with published deep learning algorithms that diagnose DR based on fundus …"
The SUSTech-SYSU dataset for automated exudate detection and diabetic retinopathy grading,13, 2020,"L Lin, M Li, Y Huang, P Cheng, H Xia, K Wang, J Yuan… - Scientific Data, 2020 - nature.com",nature.com, Scientific Data,https://www.nature.com/articles/s41597-020-00755-0,"… machine learning technologies have enabled fast and efficient computer-aided diagnoses of 
… machine learning methods 14 ), have been developed for automatically detecting exudates. …"
Machine learning approaches in medical image analysis: From detection to diagnosis,287, 2016,"M De Bruijne - Medical image analysis, 2016 - Elsevier",Elsevier, Medical image analysis,https://www.sciencedirect.com/science/article/pii/S1361841516301098,"… detection of diabetic retinopathy in retinal fundus photographs. … detection and segmentation 
of retinal vessels, for which … learning approaches can significantly improve classification …"
A review on current advances in machine learning based diabetes prediction,22, 2021,"V Jaiswal, A Negi, T Pal - Primary Care Diabetes, 2021 - Elsevier",Elsevier, Primary Care Diabetes,https://www.sciencedirect.com/science/article/pii/S175199182100019X,"… the primary stage in diabetic retinopathy in which the retina and tiny … In this study six machine 
learning classification algorithms … for diagnosis of the diabetes using deep learning method. …"
Retinal blood vessels detection for diabetic retinopathy with Ridgelet transform and convolution neural network,3, Multiresolution and …,"N Yadav - International Journal of Wavelets, Multiresolution and …, 2020 - World Scientific",World Scientific, International Journal of Wavelets,https://www.worldscientific.com/doi/abs/10.1142/S0219691320500484,"… Applying machine learning in life sciences, especially diagnostics, has become a … classified 
by deep learning method to detect DR images from the dataset. The successful classification …"
Computer aided diagnosis systems using deep learning for retinal diseases: A survey,2, 2022,"G Sivapriya, P Keerthika - Materials Today: Proceedings, 2022 - Elsevier",Elsevier, Materials Today: Proceedings,https://www.sciencedirect.com/science/article/pii/S2214785322007428,"… retina. In this review, a detailed survey is done on deep learning methods applied for retinal 
… Discussion: Diabetic retinopathy grading is the classification task and only few works have …"
Accurate diagnosis of diabetic retinopathy and glaucoma using retinal fundus images based on hybrid features and genetic algorithm,3, 2021,"N Tamim, M Elshrkawey, H Nassar - Applied Sciences, 2021 - mdpi.com",mdpi.com, Applied Sciences,https://www.mdpi.com/2076-3417/11/13/6178,"… deep learning and performs five-class classification, in contrast to our system which is based 
on hand-crafted features, conventional ML algorithms, and three-class classification. The …"
Diabetic retinopathy classification using deep learning,3, 2020,"G Ghan, S Chavan, A Chaudhari - 2020 Fourth International …, 2020 - ieeexplore.ieee.org",ieeexplore.ieee.org, 2020 Fourth International …,https://ieeexplore.ieee.org/abstract/document/9171139/,"… folks diagnosed with the polygenic disease can have diabetic … classification of Diabetic 
retinopathy using deep learning. Using the proposed method it is observed that machine learning …"
Categorization of diabetic retinopathy using deep learning techniques,2, 2021,"NT Renukadevi, K Saraswathi… - IOP Conference …, 2021 - iopscience.iop.org",iopscience.iop.org, IOP Conference …,https://iopscience.iop.org/article/10.1088/1757-899X/1055/1/012087/meta,"… detection of diabetic retinopathy using deep belief networks … retinal images of patients and 
provides accurate diagnosis of … Classification of diabetic retinopathy images by using deep …"
Diabetic retinopathy screening in the emerging era of artificial intelligence,4, 2022,"J Grauslund - Diabetologia, 2022 - Springer",Springer, Diabetologia,https://link.springer.com/article/10.1007/s00125-022-05727-0,"… solutions are needed to alleviate the task of screening and improve diagnostic accuracy. … 
, machine learning (ML) has been validated for some time in diabetic retinopathy grading. …"
Improving Diabetic Diagnosis and Prevention with Machine Learning on Retinal Imaging,2, 2021,"Y Min - E3S Web of Conferences, 2021 - e3s-conferences.org",e3s-conferences.org, E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/abs/2021/47/e3sconf_icepe2021_01034/e3sconf_icepe2021_01034.html,"… by machine learning algorithms that can improve the diagnosis accuracy and classification of 
patients at high risk of diabetes using retinal … of diabetic retinopathy using machine learning …"
Two Eyes Are Better Than One: Exploiting Binocular Correlation for Diabetic Retinopathy Severity Grading,9, 2021,"P Qian, Z Zhao, C Chen, Z Zeng… - 2021 43rd Annual …, 2021 - ieeexplore.ieee.org",ieeexplore.ieee.org, 2021 43rd Annual …,https://ieeexplore.ieee.org/abstract/document/9630812/,"… of diagnosis and treatment in clinical practice. Deep learning methods based on retinal … 
the left-right correlation can be used in deep learning for better DR grading. In this work, we …"
CABNet: category attention block for imbalanced diabetic retinopathy grading,87, 2020,"A He, T Li, N Li, K Wang, H Fu - IEEE Transactions on Medical …, 2020 - ieeexplore.ieee.org",ieeexplore.ieee.org, IEEE Transactions on Medical …,https://ieeexplore.ieee.org/abstract/document/9195035/,"… In this section, we briefly review the recent works on DR grading and attention mechanisms 
in deep learning. … Kang, “Diagnostic assessment of deep learning algorithms for …"
